iter	RMSE
0	365473.4569
200	334998.9727
400	311002.6509
600	292039.5096
800	277144.5263
1000	265400.8158
1200	256139.4816
1400	248731.7023
1600	242790.9264
1800	237986.8504
2000	234039.5767
2200	230736.3295
2400	227987.1394
2600	225610.8476
2800	223567.2753
3000	221808.6119
3200	220297.9346
3400	219050.6524
3600	217972.1326
3800	217042.5256
4000	216139.9637
4200	215277.5237
4400	214454.1573
4600	213739.0463
4800	213081.4339
5000	212478.8656
5200	211934.6527
5400	211398.0277
5600	210875.9708
5800	210354.7532
6000	209825.6903
6200	209311.7309
6400	208858.7584
6600	208436.9313
6800	208010.0891
7000	207609.6389
7200	207201.8996
7400	206828.3195
7600	206480.3007
7800	206116.003
8000	205783.3079
8200	205489.3469
8400	205169.4287
8600	204862.067
8800	204583.961
9000	204323.9147
9200	204079.4719
9400	203837.2108
9600	203576.3904
9800	203359.9524
9999	203124.3133
