iter	Passed	Remaining
0	59	595737
1	62	311404
2	64	213314
3	66	165185
4	68	135940
5	70	117488
6	72	103253
7	74	93281
8	76	84734
9	78	78327
10	80	73404
11	83	69263
12	85	65736
13	87	62488
14	89	59531
15	91	56956
16	93	55109
17	95	53063
18	97	51128
19	99	49474
20	100	47978
21	102	46667
22	104	45527
23	107	44880
24	109	43792
25	111	42819
26	115	42574
27	117	41776
28	119	40935
29	120	40072
30	122	39370
31	124	38885
32	127	38369
33	129	37844
34	131	37378
35	133	36826
36	135	36489
37	137	36102
38	139	35675
39	142	35537
40	144	35078
41	147	34945
42	150	34903
43	153	34710
44	155	34296
45	156	33968
46	158	33634
47	160	33275
48	161	32895
49	163	32520
50	165	32220
51	166	31931
52	168	31625
53	170	31348
54	172	31125
55	173	30871
56	176	30783
57	178	30603
58	180	30425
59	182	30228
60	184	30021
61	185	29813
62	187	29574
63	189	29401
64	191	29247
65	193	29068
66	194	28857
67	196	28716
68	198	28602
69	200	28443
70	202	28309
71	204	28183
72	206	28062
73	208	27904
74	210	27800
75	211	27680
76	213	27522
77	215	27392
78	217	27328
79	219	27192
80	221	27120
81	223	27013
82	225	26889
83	226	26765
84	228	26626
85	229	26487
86	231	26377
87	233	26271
88	234	26156
89	236	26038
90	238	26010
91	240	25899
92	241	25779
93	243	25677
94	245	25585
95	247	25511
96	249	25427
97	250	25354
98	252	25284
99	254	25188
100	256	25108
101	257	25020
102	259	24939
103	261	24859
104	262	24782
105	264	24674
106	266	24596
107	267	24509
108	269	24461
109	271	24389
110	272	24315
111	274	24247
112	277	24236
113	278	24166
114	280	24071
115	281	24021
116	283	23958
117	285	23902
118	286	23811
119	288	23749
120	290	23683
121	291	23608
122	293	23537
123	295	23523
124	297	23493
125	298	23425
126	300	23358
127	302	23295
128	303	23252
129	305	23198
130	307	23141
131	308	23099
132	310	23046
133	312	22991
134	313	22928
135	315	22862
136	316	22801
137	318	22734
138	319	22688
139	321	22635
140	323	22602
141	324	22539
142	326	22499
143	328	22450
144	329	22412
145	331	22380
146	333	22354
147	335	22350
148	337	22314
149	339	22262
150	340	22224
151	342	22195
152	344	22159
153	345	22115
154	347	22079
155	349	22037
156	351	22010
157	352	21982
158	354	21932
159	355	21883
160	357	21850
161	359	21814
162	360	21781
163	362	21743
164	363	21694
165	365	21655
166	367	21615
167	368	21573
168	370	21540
169	372	21524
170	373	21492
171	375	21449
172	377	21420
173	378	21387
174	380	21349
175	381	21318
176	383	21273
177	384	21234
178	386	21194
179	388	21180
180	389	21147
181	391	21125
182	393	21087
183	394	21061
184	396	21026
185	398	21007
186	399	20974
187	401	20949
188	402	20911
189	404	20891
190	406	20859
191	407	20832
192	409	20802
193	411	20780
194	413	20782
195	414	20754
196	416	20733
197	418	20712
198	420	20689
199	421	20665
200	423	20649
201	425	20647
202	427	20631
203	429	20607
204	430	20590
205	432	20568
206	434	20551
207	436	20528
208	437	20499
209	439	20476
210	440	20457
211	442	20443
212	444	20413
213	446	20397
214	447	20386
215	449	20358
216	451	20338
217	452	20312
218	454	20283
219	455	20256
220	457	20228
221	458	20203
222	460	20194
223	462	20174
224	463	20150
225	465	20125
226	466	20104
227	468	20094
228	470	20069
229	471	20049
230	473	20038
231	475	20025
232	477	20009
233	478	19987
234	480	19960
235	482	19946
236	483	19934
237	485	19918
238	487	19908
239	489	19892
240	490	19873
241	492	19847
242	494	19840
243	495	19823
244	497	19800
245	498	19785
246	500	19773
247	502	19749
248	503	19729
249	505	19705
250	507	19693
251	508	19679
252	510	19660
253	511	19640
254	513	19627
255	515	19611
256	516	19598
257	518	19584
258	520	19568
259	521	19548
260	523	19531
261	525	19514
262	526	19499
263	528	19483
264	529	19467
265	531	19454
266	533	19444
267	534	19422
268	536	19401
269	538	19389
270	539	19382
271	541	19373
272	543	19359
273	544	19344
274	546	19328
275	548	19311
276	549	19303
277	551	19289
278	553	19268
279	554	19253
280	556	19235
281	557	19221
282	559	19211
283	561	19204
284	562	19191
285	564	19174
286	566	19171
287	568	19162
288	569	19147
289	571	19135
290	573	19122
291	574	19109
292	576	19087
293	577	19077
294	579	19059
295	581	19053
296	582	19042
297	584	19031
298	586	19022
299	588	19017
300	589	19003
301	591	18988
302	592	18975
303	594	18959
304	595	18944
305	597	18930
306	599	18935
307	601	18918
308	602	18904
309	604	18889
310	606	18881
311	607	18868
312	609	18854
313	610	18839
314	612	18824
315	613	18811
316	615	18796
317	617	18793
318	619	18788
319	620	18782
320	623	18787
321	625	18796
322	626	18781
323	628	18770
324	630	18767
325	632	18769
326	634	18757
327	636	18767
328	638	18762
329	639	18753
330	641	18750
331	644	18758
332	645	18748
333	647	18742
334	649	18738
335	651	18737
336	653	18730
337	654	18721
338	656	18718
339	658	18708
340	660	18698
341	661	18684
342	663	18676
343	665	18668
344	666	18661
345	668	18652
346	670	18646
347	671	18636
348	673	18636
349	675	18628
350	677	18619
351	679	18613
352	680	18596
353	681	18581
354	683	18571
355	686	18589
356	687	18580
357	689	18570
358	691	18567
359	692	18552
360	694	18536
361	695	18523
362	697	18514
363	700	18536
364	702	18532
365	703	18518
366	704	18504
367	706	18495
368	708	18487
369	710	18482
370	711	18471
371	713	18464
372	714	18452
373	716	18445
374	718	18432
375	719	18425
376	721	18421
377	723	18409
378	724	18399
379	726	18394
380	728	18388
381	729	18379
382	731	18371
383	733	18365
384	734	18349
385	736	18332
386	737	18323
387	739	18318
388	740	18305
389	742	18296
390	744	18288
391	746	18287
392	747	18281
393	749	18271
394	751	18270
395	753	18262
396	754	18259
397	756	18248
398	758	18242
399	759	18236
400	761	18232
401	763	18222
402	765	18219
403	766	18212
404	768	18206
405	770	18197
406	771	18191
407	773	18184
408	775	18174
409	776	18170
410	779	18193
411	781	18181
412	782	18173
413	784	18165
414	786	18157
415	787	18147
416	789	18141
417	790	18131
418	792	18125
419	794	18114
420	795	18105
421	797	18106
422	799	18097
423	800	18084
424	802	18078
425	804	18075
426	805	18066
427	807	18062
428	809	18055
429	810	18045
